date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-10-10,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,146.1,5.84,43.83,146.1,kWh,1
2025-10-11,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,128.4,5.14,38.52,128.4,kWh,1
2025-10-12,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,31.6,1.26,9.48,31.6,kWh,1
2025-10-13,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,155.4,6.22,46.62,155.4,kWh,1
2025-10-14,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,52.7,2.11,15.81,52.7,kWh,1
2025-10-15,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,139.7,5.59,41.91,139.7,kWh,1
2025-10-16,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,151.0,6.04,45.3,151.0,kWh,1
2025-10-17,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,41.1,1.64,12.33,41.1,kWh,1
2025-10-18,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,145.3,5.81,43.59,145.3,kWh,1
2025-10-19,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,39.3,1.57,11.79,39.3,kWh,1
2025-10-20,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,148.5,5.94,44.55,148.5,kWh,1
2025-10-21,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,138.1,5.52,41.43,138.1,kWh,1
2025-10-22,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,145.2,5.81,43.56,145.2,kWh,1
2025-10-23,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,100.0,4.0,30.0,100.0,kWh,1
2025-10-24,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,38.6,1.54,11.58,38.6,kWh,1
2025-10-25,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,131.1,5.24,39.33,131.1,kWh,1
2025-10-26,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,98.1,3.92,29.43,98.1,kWh,1
2025-10-27,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,54.4,2.18,16.32,54.4,kWh,1
2025-10-28,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,142.9,5.72,42.87,142.9,kWh,1
2025-10-29,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,88.6,3.54,26.58,88.6,kWh,1
2025-10-30,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,52.0,2.08,15.6,52.0,kWh,1
2025-10-31,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,78.9,3.16,23.67,78.9,kWh,1
2025-11-01,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,40.9,1.64,12.27,40.9,kWh,1
2025-11-02,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,97.6,3.9,29.28,97.6,kWh,1
2025-11-03,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,64.1,2.56,19.23,64.1,kWh,1
2025-11-04,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,133.7,5.35,40.11,133.7,kWh,1
2025-11-05,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,36.1,1.44,10.83,36.1,kWh,1
2025-11-06,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,111.3,4.45,33.39,111.3,kWh,1
2025-11-07,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,12.3,0.49,3.69,12.3,kWh,1
2025-11-08,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,84.3,3.37,25.29,84.3,kWh,1
2025-11-09,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,29.5,1.18,8.85,29.5,kWh,1
2025-11-10,1298491919450222507,Kasdorf NE28 Site 2 3831,1308675217949302124,1811410247250006,1141,25.0,56.4,2.26,16.92,56.4,kWh,1
