date,station_id,station_name,inverter_id,inverter_sn,inverter_model,inverter_rated_kw,daily_production_kwh,full_hour,money,raw_energy_value,raw_energy_unit,raw_energy_scale
2025-08-14,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,460.3,6.14,138.09,460.3,kWh,1
2025-08-15,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,802.0,10.69,240.6,802.0,kWh,1
2025-08-16,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,509.3,6.79,152.79,509.3,kWh,1
2025-08-17,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,618.6,8.25,185.58,618.6,kWh,1
2025-08-18,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,625.9,8.35,187.77,625.9,kWh,1
2025-08-19,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,638.2,8.51,191.46,638.2,kWh,1
2025-08-20,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,609.7,8.13,182.91,609.7,kWh,1
2025-08-21,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,656.5,8.75,196.95,656.5,kWh,1
2025-08-22,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,654.4,8.73,196.32,654.4,kWh,1
2025-08-23,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,649.6,8.66,194.88,649.6,kWh,1
2025-08-24,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,645.1,8.6,193.53,645.1,kWh,1
2025-08-25,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,635.4,8.47,190.62,635.4,kWh,1
2025-08-26,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,633.2,8.44,189.96,633.2,kWh,1
2025-08-27,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,634.8,8.46,190.44,634.8,kWh,1
2025-08-28,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,191.5,2.55,57.45,191.5,kWh,1
2025-08-29,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,442.4,5.9,132.72,442.4,kWh,1
2025-08-30,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,571.3,7.62,171.39,571.3,kWh,1
2025-08-31,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,592.2,7.9,177.66,592.2,kWh,1
2025-09-01,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,492.5,6.57,147.75,492.5,kWh,1
2025-09-02,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,563.5,7.51,169.05,563.5,kWh,1
2025-09-03,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,460.6,6.14,138.18,460.6,kWh,1
2025-09-04,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,204.5,2.73,61.35,204.5,kWh,1
2025-09-05,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,625.9,8.35,187.77,625.9,kWh,1
2025-09-06,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,589.4,7.86,176.82,589.4,kWh,1
2025-09-07,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,430.5,5.74,129.15,430.5,kWh,1
2025-09-08,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,434.6,5.79,130.38,434.6,kWh,1
2025-09-09,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,519.4,6.93,155.82,519.4,kWh,1
2025-09-10,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,287.5,3.83,86.25,287.5,kWh,1
2025-09-11,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,598.6,7.98,179.58,598.6,kWh,1
2025-09-12,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,511.9,6.83,153.57,511.9,kWh,1
2025-09-13,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,559.9,7.47,167.97,559.9,kWh,1
2025-09-14,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,564.4,7.53,169.32,564.4,kWh,1
2025-09-15,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,181.7,2.42,54.51,181.7,kWh,1
2025-09-16,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,597.1,7.96,179.13,597.1,kWh,1
2025-09-17,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,603.2,8.04,180.96,603.2,kWh,1
2025-09-18,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,602.8,8.04,180.84,602.8,kWh,1
2025-09-19,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,591.2,7.88,177.36,591.2,kWh,1
2025-09-20,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,594.3,7.92,178.29,594.3,kWh,1
2025-09-21,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,320.7,4.28,96.21,320.7,kWh,1
2025-09-22,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,513.3,6.84,153.99,513.3,kWh,1
2025-09-23,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,605.5,8.07,181.65,605.5,kWh,1
2025-09-24,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,604.8,8.06,181.44,604.8,kWh,1
2025-09-25,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,603.6,8.05,181.08,603.6,kWh,1
2025-09-26,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,591.6,7.89,177.48,591.6,kWh,1
2025-09-27,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,202.5,2.7,60.75,202.5,kWh,1
2025-09-28,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,539.2,7.19,161.76,539.2,kWh,1
2025-09-29,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,359.3,4.79,107.79,359.3,kWh,1
2025-09-30,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,207.4,2.77,62.22,207.4,kWh,1
2025-10-15,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,572.6,7.63,171.78,572.6,kWh,1
2025-10-16,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,570.0,7.6,171.0,570.0,kWh,1
2025-10-17,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,290.8,3.88,87.24,290.8,kWh,1
2025-10-18,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,493.7,6.58,148.11,493.7,kWh,1
2025-10-19,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,14.5,0.19,4.35,14.5,kWh,1
2025-11-13,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,103.7,1.38,31.11,103.7,kWh,1
2025-11-20,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,467.9,6.24,140.37,467.9,kWh,1
2025-11-21,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,146.2,1.95,43.86,146.2,kWh,1
2025-11-22,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,201.1,2.68,60.33,201.1,kWh,1
2025-11-23,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,281.3,3.75,84.39,281.3,kWh,1
2025-11-24,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,11.5,0.15,3.45,11.5,kWh,1
2025-11-25,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,33.4,0.45,10.02,33.4,kWh,1
2025-11-26,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,183.6,2.45,55.08,183.6,kWh,1
2025-11-27,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,150.4,2.01,45.12,150.4,kWh,1
2025-11-28,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,21.3,0.28,6.39,21.3,kWh,1
2025-11-29,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,103.5,1.38,31.05,103.5,kWh,1
2025-11-30,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,224.1,2.99,67.23,224.1,kWh,1
2025-12-01,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,159.5,2.13,47.85,159.5,kWh,1
2025-12-02,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,114.3,1.52,34.29,114.3,kWh,1
2025-12-03,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,86.9,1.16,26.07,86.9,kWh,1
2025-12-04,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,185.6,2.47,55.68,185.6,kWh,1
2025-12-05,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,211.9,2.83,63.57,211.9,kWh,1
2025-12-06,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,54.4,0.73,16.32,54.4,kWh,1
2025-12-07,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,161.6,2.15,48.48,161.6,kWh,1
2025-12-08,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,73.7,0.98,22.11,73.7,kWh,1
2025-12-09,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,324.8,4.33,97.44,324.8,kWh,1
2025-12-10,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,61.2,0.82,18.36,61.2,kWh,1
2025-12-11,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,44.2,0.59,13.26,44.2,kWh,1
2025-12-12,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,31.4,0.42,9.42,31.4,kWh,1
2025-12-13,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,53.7,0.72,16.11,53.7,kWh,1
2025-12-14,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,165.5,2.21,49.65,165.5,kWh,1
2025-12-15,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,155.2,2.07,46.56,155.2,kWh,1
2025-12-16,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,380.7,5.08,114.21,380.7,kWh,1
2025-12-17,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,111.0,1.48,33.3,111.0,kWh,1
2025-12-18,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,89.8,1.2,26.94,89.8,kWh,1
2025-12-19,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,254.6,3.39,76.38,254.6,kWh,1
2025-12-20,1298491919450211119,Hutterville Canal,1308675217949057815,40130D1245290031,130D,75.0,412.6,5.5,123.78,412.6,kWh,1
