site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,1811450248060009__rated_kw,1811450248060009__daily_energy_kwh,1811450248060009__specific_yield_kwh_per_kw,1811450248060009__relative_specific_yield_vs_site_avg,40130B1246110134__rated_kw,40130B1246110134__daily_energy_kwh,40130B1246110134__specific_yield_kwh_per_kw,40130B1246110134__relative_specific_yield_vs_site_avg
Wheatcrest 2 NE 34 #6008,2025-02-01,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-02,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-03,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-04,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-05,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-06,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-07,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-08,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-09,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-10,Normal,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-11,site_missing_data,597.5,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-12,site_missing_data,605.35,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-13,site_missing_data,597.5,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-14,site_missing_data,535.55,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-15,site_missing_data,552.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-16,site_missing_data,574.85,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-17,site_missing_data,597.5,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 2 NE 34 #6008,2025-02-18,site_missing_data,597.5,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,597.5,5.975,2.0
Wheatcrest 2 NE 34 #6008,2025-02-19,site_missing_data,613.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,613.2,6.132,2.0
Wheatcrest 2 NE 34 #6008,2025-02-20,site_missing_data,434.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,434.2,4.342,2.0
Wheatcrest 2 NE 34 #6008,2025-02-21,site_missing_data,473.6,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,473.6,4.736,2.0
Wheatcrest 2 NE 34 #6008,2025-02-22,site_missing_data,552.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,552.2,5.522,2.0
Wheatcrest 2 NE 34 #6008,2025-02-23,site_missing_data,633.7,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,633.7,6.337,2.0
Wheatcrest 2 NE 34 #6008,2025-02-24,site_missing_data,645.9,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,645.9,6.459,2.0
Wheatcrest 2 NE 34 #6008,2025-02-25,site_missing_data,666.0,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,666.0,6.66,2.0
Wheatcrest 2 NE 34 #6008,2025-02-26,site_missing_data,685.3,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,685.3,6.853,2.0
Wheatcrest 2 NE 34 #6008,2025-02-27,site_missing_data,496.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,496.2,4.962,2.0
Wheatcrest 2 NE 34 #6008,2025-02-28,site_missing_data,680.7,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,680.7,6.807,2.0
Wheatcrest 2 NE 34 #6008,2025-03-01,site_missing_data,712.7,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,712.7,7.127,2.0
Wheatcrest 2 NE 34 #6008,2025-03-02,site_missing_data,722.8,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,722.8,7.228,2.0
Wheatcrest 2 NE 34 #6008,2025-03-03,site_missing_data,163.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,163.2,1.632,2.0
Wheatcrest 2 NE 34 #6008,2025-03-04,site_missing_data,720.8,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,720.8,7.208,2.0
Wheatcrest 2 NE 34 #6008,2025-03-05,site_missing_data,436.4,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,436.4,4.364,2.0
Wheatcrest 2 NE 34 #6008,2025-03-06,site_missing_data,728.2,SOLIS-1298491919449868730-G001,"1811450248060009, ALL_INVERTERS",40.0,0.0,0.0,0.0,100.0,728.2,7.282,2.0
Wheatcrest 2 NE 34 #6008,2025-03-07,Normal,891.0,,,40.0,153.6,3.84,0.684858,100.0,737.4,7.374,1.315142
Wheatcrest 2 NE 34 #6008,2025-03-08,Normal,421.4,,,40.0,106.0,2.65,0.913163,100.0,315.4,3.154,1.086837
Wheatcrest 2 NE 34 #6008,2025-03-09,Normal,380.0,,,40.0,95.0,2.375,0.909091,100.0,285.0,2.85,1.090909
Wheatcrest 2 NE 34 #6008,2025-03-10,Normal,596.4,,,40.0,152.0,3.8,0.921883,100.0,444.4,4.444,1.078117
Wheatcrest 2 NE 34 #6008,2025-03-11,Normal,710.4,,,40.0,185.0,4.625,0.93633,100.0,525.4,5.254,1.06367
Wheatcrest 2 NE 34 #6008,2025-03-12,Normal,721.2,,,40.0,183.0,4.575,0.918951,100.0,538.2,5.382,1.081049
Wheatcrest 2 NE 34 #6008,2025-03-13,Normal,429.9,,,40.0,110.0,2.75,0.924525,100.0,319.9,3.199,1.075475
