incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
SOLIS-1298491919449868709-001,Wheatcrest 1 NE 34 #7000,ALL_INVERTERS,site_missing_data,2025-02-01,2025-02-06,6,100,high,1.0,0.0,0.0,152.85,284.9,0.0,0.0,2,"Missing site data: no rows were present for 6 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 152.8 and 284.9 kWh.",solis__Wheatcrest_1_NE_34_7000__1298491919449868709.csv
SOLIS-1298491919449868709-002,Wheatcrest 1 NE 34 #7000,1811450248060002,offline_or_near_zero,2025-02-07,2025-02-08,2,91,high,0.256725,0.0,0.0,51.704318,61.767919,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 2 day(s), with expected daily energy between 51.7 and 61.8 kWh.",solis__Wheatcrest_1_NE_34_7000__1298491919449868709.csv
SOLIS-1298491919449868709-003,Wheatcrest 1 NE 34 #7000,1811450248060002,offline_or_near_zero,2025-02-10,2025-03-15,34,100,high,0.256725,0.0,0.0,39.99768,191.105732,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 34 day(s), with expected daily energy between 40.0 and 191.1 kWh.",solis__Wheatcrest_1_NE_34_7000__1298491919449868709.csv
SOLIS-1298491919449868709-004,Wheatcrest 1 NE 34 #7000,1811450248060002,offline_or_near_zero,2025-03-17,2025-03-17,1,95,high,0.256725,0.0,0.0,128.850036,128.850036,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 128.9 and 128.9 kWh.",solis__Wheatcrest_1_NE_34_7000__1298491919449868709.csv
