site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  Advanced 24.0-3 480 (4) (2344E5)__rated_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__daily_energy_kwh,Symo  Advanced 24.0-3 480 (4) (2344E5)__specific_yield_kwh_per_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (1) (ECDEE1)__rated_kw,Symo 24.0-3 480 (1) (ECDEE1)__daily_energy_kwh,Symo 24.0-3 480 (1) (ECDEE1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (ECDEE1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2) (2344D2)__rated_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2) (2344D2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (3) (2344DB)__rated_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__daily_energy_kwh,Symo Advanced 24.0-3 480 (3) (2344DB)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (5) (2344EE)__rated_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__daily_energy_kwh,Symo Advanced 24.0-3 480 (5) (2344EE)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (6) (D2487C)__rated_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__daily_energy_kwh,Symo Advanced 24.0-3 480 (6) (D2487C)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (7) (D3E7E7)__rated_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__daily_energy_kwh,Symo Advanced 24.0-3 480 (7) (D3E7E7)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__relative_specific_yield_vs_site_avg
G and C farms south meter,2022-07-04,site_missing_data,871.69,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,144.24,6.01,1.158302,24.0,145.66,6.069167,1.169705,24.0,146.55,6.10625,1.176852,24.0,0.0,0.0,0.0,24.0,146.09,6.087083,1.173158,24.0,144.51,6.02125,1.16047,24.0,144.64,6.026667,1.161514
G and C farms south meter,2022-07-05,site_missing_data,1306.85,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,216.26,9.010833,1.158373,24.0,217.56,9.065,1.165336,24.0,219.59,9.149583,1.17621,24.0,0.0,0.0,0.0,24.0,218.94,9.1225,1.172728,24.0,217.31,9.054583,1.163997,24.0,217.19,9.049583,1.163355
G and C farms south meter,2022-07-06,site_missing_data,1238.46,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,204.55,8.522917,1.156154,24.0,206.62,8.609167,1.167854,24.0,208.67,8.694583,1.179441,24.0,0.0,0.0,0.0,24.0,208.18,8.674167,1.176671,24.0,204.91,8.537917,1.158188,24.0,205.53,8.56375,1.161693
G and C farms south meter,2022-07-07,site_missing_data,1162.03,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,197.3,8.220833,1.188524,24.0,201.21,8.38375,1.212077,24.0,202.22,8.425833,1.218161,24.0,0.0,0.0,0.0,24.0,161.27,6.719583,0.971481,24.0,199.93,8.330417,1.204366,24.0,200.1,8.3375,1.205391
G and C farms south meter,2022-07-08,site_missing_data,1330.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,221.26,9.219167,1.163905,24.0,219.56,9.148333,1.154962,24.0,225.07,9.377917,1.183947,24.0,0.0,0.0,0.0,24.0,224.46,9.3525,1.180738,24.0,218.18,9.090833,1.147703,24.0,222.18,9.2575,1.168745
G and C farms south meter,2022-07-09,site_missing_data,1245.72,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,203.69,8.487083,1.144583,24.0,209.95,8.747917,1.179759,24.0,212.4,8.85,1.193527,24.0,0.0,0.0,0.0,24.0,207.16,8.631667,1.164082,24.0,206.3,8.595833,1.159249,24.0,206.22,8.5925,1.1588
G and C farms south meter,2022-07-10,site_missing_data,1238.46,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-11,site_missing_data,1242.09,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-12,site_missing_data,1245.72,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-13,site_missing_data,1245.72,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-14,site_missing_data,1330.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-15,site_missing_data,1330.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-16,site_missing_data,1299.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-17,site_missing_data,1335.08,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-18,site_missing_data,1317.375,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-19,site_missing_data,1299.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,,24.0,0.0,0.0,
G and C farms south meter,2022-07-20,site_missing_data,1335.08,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,220.67,9.194583,1.157002,24.0,222.14,9.255833,1.164709,24.0,224.76,9.365,1.178446,24.0,0.0,0.0,0.0,24.0,224.16,9.34,1.1753,24.0,221.53,9.230417,1.161511,24.0,221.82,9.2425,1.163031
G and C farms south meter,2022-07-21,site_missing_data,1336.39,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,220.78,9.199167,1.156444,24.0,222.57,9.27375,1.16582,24.0,225.03,9.37625,1.178705,24.0,0.0,0.0,0.0,24.0,224.36,9.348333,1.175196,24.0,221.67,9.23625,1.161106,24.0,221.98,9.249167,1.162729
G and C farms south meter,2022-07-22,site_missing_data,1196.61,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,197.1,8.2125,1.153007,24.0,200.49,8.35375,1.172838,24.0,201.1,8.379167,1.176407,24.0,0.0,0.0,0.0,24.0,200.32,8.346667,1.171844,24.0,198.47,8.269583,1.161022,24.0,199.13,8.297083,1.164882
G and C farms south meter,2022-07-23,site_missing_data,1299.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,214.77,8.94875,1.156747,24.0,216.22,9.009167,1.164557,24.0,218.86,9.119167,1.178776,24.0,0.0,0.0,0.0,24.0,218.45,9.102083,1.176568,24.0,215.49,8.97875,1.160625,24.0,215.88,8.995,1.162726
G and C farms south meter,2022-07-24,site_missing_data,1345.01,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,222.2,9.258333,1.156423,24.0,224.07,9.33625,1.166155,24.0,226.46,9.435833,1.178593,24.0,0.0,0.0,0.0,24.0,225.79,9.407917,1.175107,24.0,223.16,9.298333,1.161419,24.0,223.33,9.305417,1.162304
G and C farms south meter,2022-07-25,site_missing_data,1010.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,166.72,6.946667,1.154719,24.0,169.75,7.072917,1.175705,24.0,169.43,7.059583,1.173489,24.0,0.0,0.0,0.0,24.0,168.4,7.016667,1.166355,24.0,167.89,6.995417,1.162823,24.0,168.48,7.02,1.166909
G and C farms south meter,2022-07-26,site_missing_data,1190.45,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,207.32,8.638333,1.219068,24.0,209.72,8.738333,1.233181,24.0,146.24,6.093333,0.85991,24.0,0.0,0.0,0.0,24.0,210.23,8.759583,1.23618,24.0,208.31,8.679583,1.22489,24.0,208.63,8.692917,1.226771
G and C farms south meter,2022-07-27,site_missing_data,666.84,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,132.07,5.502917,1.386375,24.0,134.36,5.598333,1.410413,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,133.8,5.575,1.404535,24.0,133.08,5.545,1.396977,24.0,133.53,5.56375,1.401701
G and C farms south meter,2022-07-28,site_missing_data,1101.59,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,218.78,9.115833,1.390227,24.0,220.74,9.1975,1.402682,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,222.39,9.26625,1.413166,24.0,219.66,9.1525,1.395819,24.0,220.02,9.1675,1.398106
