site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,Symo  Advanced 24.0-3 480 (4) (2344E5)__rated_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__daily_energy_kwh,Symo  Advanced 24.0-3 480 (4) (2344E5)__specific_yield_kwh_per_kw,Symo  Advanced 24.0-3 480 (4) (2344E5)__relative_specific_yield_vs_site_avg,Symo 24.0-3 480 (1) (ECDEE1)__rated_kw,Symo 24.0-3 480 (1) (ECDEE1)__daily_energy_kwh,Symo 24.0-3 480 (1) (ECDEE1)__specific_yield_kwh_per_kw,Symo 24.0-3 480 (1) (ECDEE1)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (2) (2344D2)__rated_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__daily_energy_kwh,Symo Advanced 24.0-3 480 (2) (2344D2)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (2) (2344D2)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (3) (2344DB)__rated_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__daily_energy_kwh,Symo Advanced 24.0-3 480 (3) (2344DB)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (3) (2344DB)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (5) (2344EE)__rated_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__daily_energy_kwh,Symo Advanced 24.0-3 480 (5) (2344EE)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (5) (2344EE)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (6) (D2487C)__rated_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__daily_energy_kwh,Symo Advanced 24.0-3 480 (6) (D2487C)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (6) (D2487C)__relative_specific_yield_vs_site_avg,Symo Advanced 24.0-3 480 (7) (D3E7E7)__rated_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__daily_energy_kwh,Symo Advanced 24.0-3 480 (7) (D3E7E7)__specific_yield_kwh_per_kw,Symo Advanced 24.0-3 480 (7) (D3E7E7)__relative_specific_yield_vs_site_avg
G and C farms south meter,2022-10-25,site_missing_data,499.3,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,97.6,4.066667,1.368316,24.0,101.2,4.216667,1.418786,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,100.78,4.199167,1.412898,24.0,100.46,4.185833,1.408412,24.0,99.26,4.135833,1.391588
G and C farms south meter,2022-10-26,site_missing_data,877.11,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,173.16,7.215,1.381948,24.0,176.7,7.3625,1.410199,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,178.49,7.437083,1.424485,24.0,173.47,7.227917,1.384422,24.0,175.29,7.30375,1.398947
G and C farms south meter,2022-10-27,site_missing_data,488.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,96.33,4.01375,1.379775,24.0,100.58,4.190833,1.44065,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,96.93,4.03875,1.388369,24.0,97.05,4.04375,1.390088,24.0,97.82,4.075833,1.401117
G and C farms south meter,2022-10-28,site_missing_data,179.23,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,35.14,1.464167,1.372426,24.0,37.17,1.54875,1.45171,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,35.36,1.473333,1.381019,24.0,35.61,1.48375,1.390783,24.0,35.95,1.497917,1.404062
G and C farms south meter,2022-10-29,site_missing_data,782.93,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,154.57,6.440417,1.381975,24.0,160.11,6.67125,1.431507,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,157.45,6.560417,1.407725,24.0,154.85,6.452083,1.384479,24.0,155.95,6.497917,1.394314
G and C farms south meter,2022-10-30,site_missing_data,314.79,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,62.09,2.587083,1.380698,24.0,64.47,2.68625,1.433622,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,62.6,2.608333,1.392039,24.0,62.6,2.608333,1.392039,24.0,63.03,2.62625,1.401601
G and C farms south meter,2022-10-31,site_missing_data,357.61,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,70.75,2.947917,1.384889,24.0,72.81,3.03375,1.425212,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,71.71,2.987917,1.40368,24.0,71.06,2.960833,1.390957,24.0,71.28,2.97,1.395263
G and C farms south meter,2022-11-01,site_missing_data,251.79,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,49.78,2.074167,1.383931,24.0,51.38,2.140833,1.428413,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,50.11,2.087917,1.393105,24.0,50.13,2.08875,1.393661,24.0,50.39,2.099583,1.40089
G and C farms south meter,2022-11-02,site_missing_data,134.46,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,28.24,1.176667,1.470177,24.0,25.35,1.05625,1.319723,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,26.03,1.084583,1.355124,24.0,30.88,1.286667,1.607616,24.0,23.96,0.998333,1.24736
G and C farms south meter,2022-11-03,site_missing_data,675.25,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,137.5,5.729167,1.425398,24.0,120.41,5.017083,1.248234,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,143.73,5.98875,1.489981,24.0,140.06,5.835833,1.451936,24.0,133.55,5.564583,1.38445
G and C farms south meter,2022-11-04,site_missing_data,666.3,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,131.46,5.4775,1.38109,24.0,135.05,5.627083,1.418805,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,134.82,5.6175,1.416389,24.0,131.97,5.49875,1.386448,24.0,133.0,5.541667,1.397268
G and C farms south meter,2022-11-05,site_missing_data,213.71,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,42.57,1.77375,1.394366,24.0,43.02,1.7925,1.409106,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,42.92,1.788333,1.40583,24.0,42.97,1.790417,1.407468,24.0,42.23,1.759583,1.38323
G and C farms south meter,2022-11-06,site_missing_data,364.6,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,81.32,3.388333,1.561273,24.0,71.18,2.965833,1.366594,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,69.71,2.904583,1.338371,24.0,79.19,3.299583,1.520378,24.0,63.2,2.633333,1.213385
G and C farms south meter,2022-11-07,site_missing_data,239.49,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,53.19,2.21625,1.554679,24.0,46.15,1.922917,1.348908,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,45.65,1.902083,1.334294,24.0,53.18,2.215833,1.554386,24.0,41.32,1.721667,1.207733
G and C farms south meter,2022-11-08,site_missing_data,207.21,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,47.95,1.997917,1.619854,24.0,35.78,1.490833,1.208725,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,43.09,1.795417,1.455673,24.0,41.43,1.72625,1.399595,24.0,38.96,1.623333,1.316153
G and C farms south meter,2022-11-09,site_missing_data,146.72,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,32.81,1.367083,1.565363,24.0,25.28,1.053333,1.206107,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,31.05,1.29375,1.481393,24.0,29.7,1.2375,1.416985,24.0,27.88,1.161667,1.330153
G and C farms south meter,2022-11-10,site_missing_data,524.1,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,127.96,5.331667,1.709063,24.0,59.39,2.474583,0.793226,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,104.72,4.363333,1.398664,24.0,120.56,5.023333,1.610227,24.0,111.47,4.644583,1.488819
G and C farms south meter,2022-11-11,site_missing_data,674.98,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,143.09,5.962083,1.48394,24.0,103.05,4.29375,1.068698,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,144.41,6.017083,1.49763,24.0,143.01,5.95875,1.483111,24.0,141.42,5.8925,1.466621
G and C farms south meter,2022-11-12,site_missing_data,471.62,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,93.77,3.907083,1.391777,24.0,94.14,3.9225,1.397269,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,94.62,3.9425,1.404393,24.0,94.39,3.932917,1.40098,24.0,94.7,3.945833,1.405581
G and C farms south meter,2022-11-13,site_missing_data,445.99,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,89.17,3.715417,1.399561,24.0,87.91,3.662917,1.379784,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,90.49,3.770417,1.420278,24.0,88.92,3.705,1.395637,24.0,89.5,3.729167,1.40474
G and C farms south meter,2022-11-14,site_missing_data,668.9,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,130.63,5.442917,1.367035,24.0,139.99,5.832917,1.464987,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,133.33,5.555417,1.395291,24.0,131.66,5.485833,1.377814,24.0,133.29,5.55375,1.394872
G and C farms south meter,2022-11-15,site_missing_data,385.96,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,76.15,3.172917,1.381102,24.0,79.4,3.308333,1.440046,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,76.84,3.201667,1.393616,24.0,76.52,3.188333,1.387812,24.0,77.05,3.210417,1.397425
G and C farms south meter,2022-11-16,site_missing_data,259.34,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,52.0,2.166667,1.403563,24.0,51.76,2.156667,1.397085,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,51.8,2.158333,1.398165,24.0,52.35,2.18125,1.41301,24.0,51.43,2.142917,1.388178
G and C farms south meter,2022-11-17,site_missing_data,554.62,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,110.72,4.613333,1.397425,24.0,115.96,4.831667,1.463561,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,109.75,4.572917,1.385183,24.0,110.59,4.607917,1.395785,24.0,107.6,4.483333,1.358047
G and C farms south meter,2022-11-18,site_missing_data,700.05,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,133.17,5.54875,1.331605,24.0,156.27,6.51125,1.562588,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,138.6,5.775,1.385901,24.0,134.46,5.6025,1.344504,24.0,137.55,5.73125,1.375402
G and C farms south meter,2022-11-19,site_missing_data,646.26,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,122.87,5.119583,1.330873,24.0,144.99,6.04125,1.570467,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,127.66,5.319167,1.382756,24.0,123.97,5.165417,1.342788,24.0,126.77,5.282083,1.373116
G and C farms south meter,2022-11-20,site_missing_data,464.19,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,89.04,3.71,1.342726,24.0,101.61,4.23375,1.532282,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,91.55,3.814583,1.380577,24.0,90.3,3.7625,1.361727,24.0,91.69,3.820417,1.382688
G and C farms south meter,2022-11-21,site_missing_data,581.4,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,112.74,4.6975,1.357379,24.0,125.35,5.222917,1.509202,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,115.21,4.800417,1.387117,24.0,113.67,4.73625,1.368576,24.0,114.43,4.767917,1.377726
G and C farms south meter,2022-11-22,site_missing_data,480.43,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,94.47,3.93625,1.376454,24.0,99.37,4.140417,1.447849,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,95.91,3.99625,1.397436,24.0,95.13,3.96375,1.386071,24.0,95.55,3.98125,1.39219
G and C farms south meter,2022-11-23,site_missing_data,498.7,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,95.99,3.999583,1.347363,24.0,109.17,4.54875,1.532364,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,98.21,4.092083,1.378524,24.0,96.91,4.037917,1.360277,24.0,98.42,4.100833,1.381472
G and C farms south meter,2022-11-24,site_missing_data,178.77,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,34.94,1.455833,1.368127,24.0,37.55,1.564583,1.470325,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,35.37,1.47375,1.384964,24.0,35.35,1.472917,1.384181,24.0,35.56,1.481667,1.392404
G and C farms south meter,2022-11-25,site_missing_data,187.41,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,36.81,1.53375,1.3749,24.0,38.93,1.622083,1.454085,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,37.1,1.545833,1.385732,24.0,37.04,1.543333,1.383491,24.0,37.53,1.56375,1.401793
G and C farms south meter,2022-11-26,site_missing_data,588.61,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,113.36,4.723333,1.348125,24.0,128.63,5.359583,1.529723,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,116.2,4.841667,1.3819,24.0,114.3,4.7625,1.359304,24.0,116.12,4.838333,1.380948
G and C farms south meter,2022-11-27,site_missing_data,123.43,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,24.32,1.013333,1.379243,24.0,25.17,1.04875,1.427449,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,24.49,1.020417,1.388884,24.0,24.53,1.022083,1.391153,24.0,24.92,1.038333,1.413271
G and C farms south meter,2022-11-28,site_missing_data,152.29,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,30.5,1.270833,1.401931,24.0,30.76,1.281667,1.413881,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,29.99,1.249583,1.378488,24.0,31.41,1.30875,1.443759,24.0,29.63,1.234583,1.361941
G and C farms south meter,2022-11-29,site_missing_data,260.65,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,51.94,2.164167,1.394897,24.0,59.12,2.463333,1.587723,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,52.3,2.179167,1.404566,24.0,53.07,2.21125,1.425245,24.0,44.22,1.8425,1.18757
G and C farms south meter,2022-11-30,site_missing_data,151.54,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,30.28,1.261667,1.398707,24.0,31.63,1.317917,1.461066,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,30.39,1.26625,1.403788,24.0,30.95,1.289583,1.429656,24.0,28.29,1.17875,1.306784
G and C farms south meter,2022-12-01,site_missing_data,140.74,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,28.15,1.172917,1.400099,24.0,27.56,1.148333,1.370755,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,29.44,1.226667,1.46426,24.0,28.73,1.197083,1.428947,24.0,26.86,1.119167,1.335939
G and C farms south meter,2022-12-02,site_missing_data,477.34,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,91.48,3.811667,1.341518,24.0,107.12,4.463333,1.570872,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,99.62,4.150833,1.460887,24.0,93.66,3.9025,1.373486,24.0,85.46,3.560833,1.253237
G and C farms south meter,2022-12-03,site_missing_data,585.94,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,108.93,4.53875,1.301345,24.0,140.1,5.8375,1.673721,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,114.42,4.7675,1.366932,24.0,110.14,4.589167,1.3158,24.0,112.35,4.68125,1.342202
G and C farms south meter,2022-12-04,site_missing_data,566.58,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,103.99,4.332917,1.284779,24.0,139.33,5.805417,1.721399,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,108.97,4.540417,1.346306,24.0,105.45,4.39375,1.302817,24.0,108.84,4.535,1.3447
G and C farms south meter,2022-12-05,site_missing_data,114.95,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,21.51,0.89625,1.309874,24.0,24.55,1.022917,1.494998,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,21.69,0.90375,1.320835,24.0,23.13,0.96375,1.408525,24.0,24.07,1.002917,1.465768
G and C farms south meter,2022-12-06,site_missing_data,46.44,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,8.81,0.367083,1.32795,24.0,8.97,0.37375,1.352067,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,10.15,0.422917,1.529931,24.0,8.58,0.3575,1.293282,24.0,9.93,0.41375,1.49677
G and C farms south meter,2022-12-07,site_missing_data,526.34,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,86.65,3.610417,1.152392,24.0,108.5,4.520833,1.442984,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,111.54,4.6475,1.483414,24.0,108.31,4.512917,1.440457,24.0,111.34,4.639167,1.480754
G and C farms south meter,2022-12-08,site_missing_data,598.67,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,97.09,4.045417,1.135233,24.0,168.02,7.000833,1.964588,24.0,36.78,1.5325,0.430053,24.0,0.0,0.0,0.0,24.0,98.94,4.1225,1.156864,24.0,98.11,4.087917,1.14716,24.0,99.73,4.155417,1.166102
G and C farms south meter,2022-12-09,site_missing_data,522.0,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,80.7,3.3625,1.082184,24.0,100.52,4.188333,1.347969,24.0,93.37,3.890417,1.252088,24.0,0.0,0.0,0.0,24.0,82.23,3.42625,1.102701,24.0,81.96,3.415,1.09908,24.0,83.22,3.4675,1.115977
G and C farms south meter,2022-12-10,site_missing_data,505.17,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,81.99,3.41625,1.136113,24.0,88.17,3.67375,1.221747,24.0,85.93,3.580417,1.190708,24.0,0.0,0.0,0.0,24.0,83.25,3.46875,1.153572,24.0,82.8,3.45,1.147337,24.0,83.03,3.459583,1.150524
G and C farms south meter,2022-12-11,site_missing_data,168.07,FRONIUS-e5d4623c-5a06-4b45-b2f0--G001,"ALL_INVERTERS, Symo 24.0-3 480 (1) (ECDEE1), Symo Advanced 24.0-3 480 (2) (2344D2), Symo Advanced 24.0-3 480 (3) (2344DB)",24.0,27.86,1.160833,1.16035,24.0,28.97,1.207083,1.206581,24.0,28.11,1.17125,1.170762,24.0,0.0,0.0,0.0,24.0,27.06,1.1275,1.12703,24.0,28.44,1.185,1.184506,24.0,27.63,1.15125,1.150771
