incident_id,site_name,inverter_name,status,start_date,end_date,days,confidence_score,confidence_label,baseline_share,median_ratio,min_ratio,expected_kwh_min,expected_kwh_max,actual_kwh_min,actual_kwh_max,peer_inverter_count,reason,source_file
SOLIS-1298491919450210825-001,Hutterville Layer Barn,181147023C150012,offline_or_near_zero,2025-08-14,2025-08-14,1,89,high,0.514234,0.0,0.0,87.265522,87.265522,0.0,0.0,1,"Likely outage/near-zero production: actual output was 0.0% of expected for 1 day(s), with expected daily energy between 87.3 and 87.3 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
SOLIS-1298491919450210825-002,Hutterville Layer Barn,ALL_INVERTERS,site_missing_data,2025-09-26,2025-09-28,3,100,high,1.0,0.0,0.0,786.7,930.0,0.0,0.0,2,"Missing site data: no rows were present for 3 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 786.7 and 930.0 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
SOLIS-1298491919450210825-003,Hutterville Layer Barn,ALL_INVERTERS,site_missing_data,2025-10-01,2025-10-06,6,100,high,1.0,0.0,0.0,834.2,911.95,0.0,0.0,2,"Missing site data: no rows were present for 6 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 834.2 and 912.0 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
SOLIS-1298491919450210825-004,Hutterville Layer Barn,ALL_INVERTERS,site_missing_data,2025-10-21,2025-10-21,1,93,high,1.0,0.0,0.0,603.6,603.6,0.0,0.0,2,"Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 603.6 and 603.6 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
SOLIS-1298491919450210825-005,Hutterville Layer Barn,ALL_INVERTERS,site_missing_data,2025-10-23,2025-10-23,1,93,high,1.0,0.0,0.0,688.4,688.4,0.0,0.0,2,"Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 688.4 and 688.4 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
SOLIS-1298491919450210825-006,Hutterville Layer Barn,ALL_INVERTERS,site_missing_data,2025-10-25,2025-10-25,1,93,high,1.0,0.0,0.0,603.6,603.6,0.0,0.0,2,"Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 603.6 and 603.6 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
SOLIS-1298491919450210825-007,Hutterville Layer Barn,ALL_INVERTERS,site_missing_data,2025-10-28,2025-10-28,1,93,high,1.0,0.0,0.0,721.3,721.3,0.0,0.0,2,"Missing site data: no rows were present for 1 day(s), so the API appears to have omitted the entire site. Estimated expected site energy was between 721.3 and 721.3 kWh.",solis__Hutterville_Layer_Barn__1298491919450210825.csv
